user_id,date,source,steps,calories_burned,calories_consumed,sleep_hours,weight_kg,workout_count,workout_duration_totel_minutes,notes
123e4567-e89b-12d3-a456-426614174000,2025-09-01,apple_watch,10500,520,2400,7.5,79.2,1,30,"evening run"
123e4567-e89b-12d3-a456-426614174000,2025-09-02,apple_watch,9800,480,2500,6.8,79.1,1,25,"light walk"
123e4567-e89b-12d3-a456-426614174000,2025-09-03,nutrition_app,8700,450,2300,7.0,79.0,0,0,"rest day"
123e4567-e89b-12d3-a456-426614174000,2025-09-04,apple_watch,12000,600,2450,7.2,78.9,1,40,"running + core"
123e4567-e89b-12d3-a456-426614174000,2025-09-05,manual,7500,400,2600,6.5,79.3,0,0,"late dinner"
123e4567-e89b-12d3-a456-426614174000,2025-09-06,apple_watch,13200,650,2350,8.0,78.8,2,60,"gym + jog"
123e4567-e89b-12d3-a456-426614174000,2025-09-07,nutrition_app,9100,470,2200,7.1,78.7,0,0,"balanced meals"
123e4567-e89b-12d3-a456-426614174000,2025-09-08,apple_watch,10000,510,2450,7.3,78.6,1,35,"morning run"
123e4567-e89b-12d3-a456-426614174000,2025-09-09,apple_watch,8900,460,2500,6.9,78.8,0,0,"low energy"
123e4567-e89b-12d3-a456-426614174000,2025-09-10,apple_watch,11500,580,2400,7.4,78.5,1,45,"interval training"
